551,Marshalls;Marshall Pickering
552,Corgi
553,Bantam Books
554,Bastion Books
558,None
559,Bibliolife
560,E. J. Arnold; Arnold-Wheaton
562,Sampson Low
563,BBCPublications
564,British and Foreign Bible Society
565,British Museum
566,Gower Press
567,T. & T. Clark
569,Collets
570,Concordia Publishing House
571,Faber and Faber;Faber Music
572,Foulsham
573,Samuel French
574,Science Research Associates
575,GollanczGuild Publishing
576,Gregg International
580,British Standards Institution
582,Longman
584,Frederick Muller
586,Panther Books
589,Reed Publishing
590,Scholastic
592,Iliffe
593,Bantam Books
594,The Weinstein Company
595,Authors Choice Press; Writers Club Press
596,O'Reilly
600,Hamlyn
601,Hamlyn
602,Ginn
607,US Geological Survey
608,UMIBooks on Demand
609,Crown Publishing Group
610,Kelly's Directories
611,Reed Information Services
612,UMI
614,American Concrete Institute
615,(Numerous small presses)
617,IPC Business Press
618,Houghton Mifflin
619,Course Technology
620,(various South African imprints)
621,(South Africa Government Printer)
624,Tafelberg
627,J. L. van Schaik
631,Basil Blackwell
632,Blackwell Scientific
634,Hal Leonard Corporation
636,Maskew Miller Longman
642,Australian Government Publishing Service
643,Commonwealth Scientific and Industrial Research Organisation(CSIRO)
644,Australian Government Publishing Service
646,(various Australian organizations)
658,NTC Publishing Group; NTC/Contemporary Publishing Group; National Textbook Company
660,Supply and Services Canada
662,Supply and Services Canada
664,Westminster Press
665,Canadian Institute for Historical Microreproductions
667,Microfilming Corporation of America
668,Arco Publishing
669,Lexington Books
670,Viking Press
671,Simon & Schuster
672,SAMS Publishing
673,Scott, Foresman
674,Harvard University Press
675,Charles E. Merrill
676,Vintage Canada
677,Gordon and Breach
678,Augustus M. Kelly
679,Random House;Alfred A. Knopf
681,Longmeadow Press
682,Exposition Press
683,Williams and Wilkins
684,Scribners
685,UMIBooks on Demand
687,Abingdon Press
688,William Morrow and Company
689,Simon & Schuster
690,Thomas Y. Crowell
691,Princeton University Press
692,Pebblebrook Press
695,Association Press
696,Meredith Books
697,Wm C. Brown
698,Coward, McCann & Geoghegan
